,% Change from 52week high,52week-high,52week-low,Avg Current Ratio,Avg Debt Ratio,Avg Debt to Equity Ratio,Avg Net Income,Avg Net Profit Margin,Avg PE Ratio,Avg ROE,Latest Year,Market Cap,Name,Price,Sector,Ticker,Times Interest Earned,Years of Data,dcf
0,-0.40427758816837317,219.75,128.01,1.8784221330488924,0.7047569282655841,2.402202819473214,5085.666666666667,0.16147825975147342,24.283963388100716,0.48551962197181275,2018-12-31,75351.802,3M Company,130.91,Industrials,MMM,0.0,3,130.91
1,-0.3295093540416519,56.66,37.16,2.0948809986894332,0.46008083433369173,0.8542323512766717,370.2333333333333,0.12063857441184012,25.396880689653198,0.220172347371234,2019-12-31,6154.5697,A.O. Smith Corp,37.99,Industrials,AOS,42.918181818181814,3,40.23340464078962
2,-0.20324499729583564,92.45,70.0,1.7755026183545677,0.5608157407693652,1.2840810792428174,2177.3333333333335,0.07014061966982714,99.95539337657449,0.07053850246126214,2019-12-31,129894.261,Abbott Laboratories,73.66,Health Care,ABT,6.764179104477612,3,75.82732172936552
3,-0.24105865522174538,97.86,62.66,1.3044109778802564,1.0000535208952461,6.039436871002887,5649.666666666667,0.19799433498590815,23.4846676963092,0.5507792359102448,2018-12-31,109857.21,AbbVie Inc.,74.27,Health Care,ABBV,4.735163204747774,3,78.98474773609314
4,-0.2950690882203429,216.39,143.51,1.3221184031989985,0.5659846831521915,1.3205492144246291,4094.7226666666666,0.10062704064646466,24.673359500997293,0.3694446162497884,2019-08-31,97006.895,Accenture plc,152.54,Information Technology,ACN,274.575360362322,3,161.96295767752574
5,-0.1823957849062452,64.53,41.84,2.197544484208389,0.40370368161288334,0.6977089204232461,1196.3333333333333,0.17075386489887087,72.79591898509777,0.10195516808039155,2019-12-31,40584.151,Activision Blizzard,52.76,Information Technology,ATVI,0.0,3,60.27491569390402
6,-0.42810634834508954,147.44,82.65,2.0885326667425352,0.41543050818259514,0.7116754404437847,333.9,0.09224634365318611,19.510529536299135,0.18965342010749478,2019-08-31,3340.73318,Acuity Brands Inc,84.32,Industrials,AYI,12.717032967032969,3,95.9029145728643
7,-0.26042663219133816,386.75,253.89,1.3256245240390214,0.4706659751928488,0.8982115292685284,2412.062,0.26103598256521243,47.92236385619171,0.25241664858049867,2019-11-29,138229.137,Adobe Systems Inc,286.03,Information Technology,ADBE,20.78772246746473,3,291.4213180571717
8,-0.47825372480280454,182.56,93.88,1.5106016838036265,0.6179665858954517,1.6270348578135405,452.99133333333333,0.04766882818525994,24.640295373414485,0.13873621544078704,2018-12-29,6594.9286,Advance Auto Parts,95.25,Consumer Discretionary,AAP,0.0,3,107.36670338284387
9,-0.34688712670828414,59.27,23.04,1.8094619842770543,0.80808744195012,4.791896647085338,-39.0,-0.018741187718813855,96.48317833437727,-0.28604745778853374,2018-12-29,45277.54,Advanced Micro Devices Inc,38.71,Information Technology,AMD,3.727272727272727,3,39.72315789473684
10,-0.48233631653320774,21.23,10.99,1.0759678056019164,0.9126240897382277,10.600434500447307,115.0,0.010511482849318252,14.660185247815898,0.0017136438848823394,2019-12-31,7305.8002,AES Corp,10.99,Utilities,AES,0.9533333333333335,3,12.532728635682158
11,-0.5458315334773218,115.75,47.03,1.0768813454533424,0.5854356764508557,1.4198070180882902,316.2666666666667,0.13618809919868488,103.04789786052889,0.08539858026086677,2019-12-31,2516.41011,Affiliated Managers Group Inc,52.57,Financials,AMG,4.041994750656168,3,63.23403162055336
12,-0.49300454704442115,57.18,28.82,6.4287451258501065,0.8319539537321813,4.966993352532032,3394.3333333333335,0.15485374994534606,7.12096518282148,0.14714918772437258,2018-12-31,20945.8852,AFLAC Inc,28.99,Financials,AFL,13.153153153153154,3,34.58865745820693
13,-0.29247572815533984,90.64,61.13,3.477837354010888,0.44873986684694,0.8162682598107703,487.3333333333333,0.1090684692494831,45.168311270317666,0.10655428184784675,2018-10-31,19857.918,Agilent Technologies Inc,64.13,Health Care,A,13.613333333333335,3,71.13
14,-0.2982763316602467,257.01,167.43,2.356933774853221,0.4347239592319525,0.7703412702918221,2086.0666666666666,0.24383778404670645,21.047633386254393,0.1982168761443659,2019-09-30,39799.28,Air Products & Chemicals Inc,180.35,Materials,APD,15.652554744525547,3,190.4975631768953
15,-0.19460034836462162,103.34,67.28,2.7113985432161467,0.39142337870762,0.6723193167324242,331.5763333333333,0.1207821379991011,37.456430682407195,0.09670217327188844,2019-12-31,13473.4397,Akamai Technologies Inc,83.23,Information Technology,AKAM,11.119803905680252,3,85.62252489776573
16,-0.5495707560232622,72.22,28.92,0.7369677470073155,0.6718567155127411,2.064750592309054,761.6666666666666,0.1068221854174517,13.696831230784694,0.22403515671104993,2018-12-31,3993.41517,Alaska Air Group Inc,32.53,Industrials,ALK,7.065934065934066,3,33.37694494857834
17,-0.40684104627766604,99.4,58.63,1.7770989603491463,0.5514151330520903,1.243881740019703,427.2133333333333,0.12397101358669387,98.5135068981488,0.11465855790838929,2019-12-31,6251.7053,Albemarle Corp,58.96,Materials,ALB,0.0,3,64.72659361744152
